FECHA;HITO;COTA;
21/10/2025;H1.01;78.5427;
21/10/2025;H1.02;72.8198;
21/10/2025;H1.03;72.2609;
21/10/2025;H1.04;70.9157;
21/10/2025;H1.05;70.2730;
21/10/2025;H1.06;66.5966;
27/10/2025;H1.01;78.5427;
27/10/2025;H1.02;72.8199;
27/10/2025;H1.03;72.2609;
27/10/2025;H1.04;70.9150;
27/10/2025;H1.05;70.2730;
27/10/2025;H1.06;66.5963;
29/10/2025;H1.01;78.5426;
29/10/2025;H1.02;72.8194;
29/10/2025;H1.03;72.2608;
29/10/2025;H1.04;70.9148;
29/10/2025;H1.05;70.2729;
29/10/2025;H1.06;66.5967;
03/11/2025;H1.01;78.5427;
03/11/2025;H1.02;72.8206;
03/11/2025;H1.03;72.2618;
03/11/2025;H1.04;70.916;
03/11/2025;H1.05;70.2739;
03/11/2025;H1.06;66.5975;
04/11/2025;H1.01;78.5426;
04/11/2025;H1.02;72.8198;
04/11/2025;H1.03;72.261;
04/11/2025;H1.04;70.9148;
04/11/2025;H1.05;70.2731;
04/11/2025;H1.06;66.5965;
04/11/2025;H2.01;69.676;
04/11/2025;H2.02;69.6578;
04/11/2025;H2.03;70.0138;
04/11/2025;H2.04;73.9301;
04/11/2025;H2.05;73.9554;
06/11/2025;H1.01;78.5426;
06/11/2025;H1.02;72.8191;
06/11/2025;H1.03;72.2605;
06/11/2025;H1.04;70.9138;
06/11/2025;H1.05;70.2727;
06/11/2025;H1.06;66.5957;
07/11/2025;H1.01;78.5426;
07/11/2025;H1.02;72.8193;
07/11/2025;H1.03;72.2605;
07/11/2025;H1.04;70.9139;
07/11/2025;H1.05;70.2733;
07/11/2025;H1.06;66.5963;
07/11/2025;H2.01;69.6761;
07/11/2025;H2.02;69.6579;
07/11/2025;H2.03;70.0141;
07/11/2025;H2.04;73.931;
07/11/2025;H2.05;73.9554;
10/11/2025;H1.01;78.5426;
10/11/2025;H1.02;72.8205;
10/11/2025;H1.03;72.2622;
10/11/2025;H1.04;70.9155;
10/11/2025;H1.05;70.2747;
10/11/2025;H1.06;66.5979;
11/11/2025;H1.01;78.5427;
11/11/2025;H1.02;72.8205;
11/11/2025;H1.03;72.2622;
11/11/2025;H1.04;70.9154;
11/11/2025;H1.05;70.2748;
11/11/2025;H1.06;66.5979;
12/11/2025;H1.01;78.5427;
12/11/2025;H1.02;72.8208;
12/11/2025;H1.03;72.263;
12/11/2025;H1.04;70.9163;
12/11/2025;H1.05;70.2759;
12/11/2025;H1.06;66.599;
17/11/2025;H1.01;78.5426;
17/11/2025;H1.02;72.8197;
17/11/2025;H1.03;72.2615;
17/11/2025;H1.04;70.914;
17/11/2025;H1.05;70.274;
17/11/2025;H1.06;66.5961;
18/11/2025;H1.01;78.5423;
18/11/2025;H1.02;72.8191;
18/11/2025;H1.03;72.2614;
18/11/2025;H1.04;70.9147;
18/11/2025;H1.05;70.2747;
18/11/2025;H1.06;66.5969;
19/11/2025;H1.01;78.5422;
19/11/2025;H1.02;72.8191;
19/11/2025;H1.03;72.2609;
19/11/2025;H1.04;70.9139;
19/11/2025;H1.05;70.2739;
19/11/2025;H1.06;66.5957;
19/11/2025;H2.01;69.6761;
19/11/2025;H2.02;69.6571;
19/11/2025;H2.03;70.0131;
19/11/2025;H2.04;73.9306;
19/11/2025;H2.05;73.9554;
21/11/2025;H1.01;78.5416;
21/11/2025;H1.02;72.8183;
21/11/2025;H1.03;72.2611;
21/11/2025;H1.04;70.9127;
21/11/2025;H1.05;70.2722;
21/11/2025;H1.06;66.5935;
24/11/2025;H1.01;78.5424;
24/11/2025;H1.02;72.8193;
24/11/2025;H1.03;72.2631;
24/11/2025;H1.04;70.9143;
24/11/2025;H1.05;70.2735;
24/11/2025;H1.06;66.5956;
24/11/2025;H2.01;69.6764;
24/11/2025;H2.02;69.6579;
24/11/2025;H2.03;70.0137;
24/11/2025;H2.04;73.9309;
24/11/2025;H2.05;73.9554;
25/11/2025;H1.01;78.5425;
25/11/2025;H1.02;72.814;
25/11/2025;H1.03;72.2641;
25/11/2025;H1.04;70.9145;
25/11/2025;H1.05;70.2735;
25/11/2025;H1.06;66.5957;
26/11/2025;H1.01;78.5424;
26/11/2025;H1.03;72.2641;
26/11/2025;H1.04;70.9124;
26/11/2025;H1.05;70.2734;
26/11/2025;H1.06;66.595;
27/11/2025;H1.01;78.5419;
27/11/2025;H1.02;72.8122;
27/11/2025;H1.03;72.2639;
27/11/2025;H1.04;70.9137;
27/11/2025;H1.05;70.2731;
27/11/2025;H1.06;66.5953;
27/11/2025;H2.01;69.676;
27/11/2025;H2.02;69.6573;
27/11/2025;H2.03;70.0131;
27/11/2025;H2.04;73.9304;
27/11/2025;H2.05;73.9549;
28/11/2025;H1.01;78.5424;
28/11/2025;H1.02;72.8134;
28/11/2025;H1.03;72.2649;
28/11/2025;H1.04;70.9146;
28/11/2025;H1.05;70.2744;
28/11/2025;H1.06;66.597;
01/12/2025;H1.01;78.5425;
01/12/2025;H1.02;72.8126;
01/12/2025;H1.03;72.2652;
01/12/2025;H1.04;70.9145;
01/12/2025;H1.05;70.2739;
01/12/2025;H1.06;66.5964;
02/12/2025;H1.02;72.8124;
02/12/2025;H1.03;72.2652;
02/12/2025;H1.04;70.9147;
02/12/2025;H1.05;70.2744;
02/12/2025;H1.06;66.5965;
02/12/2025;H25.02;45.7187;
02/12/2025;H25.04;44.9632;
02/12/2025;H25.05;44.0286;
02/12/2025;H26.03;45.9168;
02/12/2025;H26.04;45.5351;
02/12/2025;H26.05;45.4287;
03/12/2025;H2.01;69.6763;
03/12/2025;H2.02;69.6579;
03/12/2025;H2.03;70.0137;
03/12/2025;H2.04;73.9316;
03/12/2025;H2.05;73.9551;
04/12/2025;H1.01;78.5426;
04/12/2025;H1.02;72.8125;
04/12/2025;H1.03;72.2653;
04/12/2025;H1.04;70.9144;
04/12/2025;H1.05;70.2742;
04/12/2025;H1.06;66.5963;
05/12/2025;H2.01;69.6764;
05/12/2025;H2.02;69.6584;
05/12/2025;H2.03;70.0143;
05/12/2025;H2.04;73.9311;
05/12/2025;H2.05;73.9557;
05/12/2025;H25.02;45.7185;
05/12/2025;H25.04;44.963;
05/12/2025;H25.05;44.0289;
05/12/2025;H26.02;46.3776;
05/12/2025;H26.03;45.9165;
05/12/2025;H26.04;45.5348;
05/12/2025;H26.05;45.4287;
09/12/2025;H1.01;78.5426;
09/12/2025;H1.02;72.8116;
09/12/2025;H1.03;72.2655;
09/12/2025;H1.04;70.9136;
09/12/2025;H1.05;70.2739;
09/12/2025;H1.06;66.5965;
10/12/2025;H2.01;69.676;
10/12/2025;H2.02;69.658;
10/12/2025;H2.03;70.014;
10/12/2025;H2.04;73.931;
10/12/2025;H2.05;73.9557;
11/12/2025;H1.01;78.5426;
11/12/2025;H1.02;72.8117;
11/12/2025;H1.03;72.2654;
11/12/2025;H1.04;70.9137;
11/12/2025;H1.05;70.2744;
11/12/2025;H1.06;66.5966;
11/12/2025;H25.02;45.7183;
11/12/2025;H25.04;44.963;
11/12/2025;H25.05;44.0286;
11/12/2025;H26.02;46.3773;
11/12/2025;H26.03;45.9162;
11/12/2025;H26.04;45.5348;
11/12/2025;H26.05;45.4284;
15/12/2025;H1.01;78.5426;
15/12/2025;H1.02;72.8117;
15/12/2025;H1.03;72.2656;
15/12/2025;H1.04;70.9135;
15/12/2025;H1.05;70.2742;
15/12/2025;H1.06;66.5962;
16/12/2025;H2.01;69.6761;
16/12/2025;H2.02;69.6584;
16/12/2025;H2.03;70.0145;
16/12/2025;H2.04;73.9312;
16/12/2025;H2.05;73.956;
17/12/2025;H1.01;78.5423;
17/12/2025;H1.02;72.8117;
17/12/2025;H1.03;72.2656;
17/12/2025;H1.04;70.9135;
17/12/2025;H1.05;70.274;
17/12/2025;H1.06;66.5957;
18/12/2025;H2.01;69.6765;
18/12/2025;H2.02;69.6584;
18/12/2025;H2.03;70.0146;
18/12/2025;H2.04;73.931;
18/12/2025;H2.05;73.9557;
08/01/2026;H1.02;72.8112;
08/01/2026;H1.03;72.2657;
08/01/2026;H1.04;70.9131;
08/01/2026;H1.05;70.2731;
08/01/2026;H1.06;66.5942;
08/01/2026;H2.01;69.676;
08/01/2026;H2.02;69.6582;
08/01/2026;H2.03;70.0144;
08/01/2026;H2.04;73.9312;
08/01/2026;H2.05;73.9562;
09/01/2026;H25.02;45.718;
09/01/2026;H25.04;44.9626;
09/01/2026;H25.05;44.0284;
09/01/2026;H26.02;46.3758;
09/01/2026;H26.03;45.9152;
09/01/2026;H26.04;45.5345;
09/01/2026;H26.05;45.4284;
12/01/2026;H1.02;72.8111;
12/01/2026;H1.03;72.2658;
12/01/2026;H1.04;70.9131;
12/01/2026;H1.05;70.2731;
12/01/2026;H1.06;66.5942;
13/01/2026;H2.01;69.6759;
13/01/2026;H2.02;69.6577;
13/01/2026;H2.03;70.014;
13/01/2026;H2.04;73.9303;
13/01/2026;H2.05;73.9558;
14/01/2026;H25.02;45.7174;
14/01/2026;H25.04;44.9629;
14/01/2026;H25.05;44.0286;
14/01/2026;H26.02;46.3756;
14/01/2026;H26.03;45.9151;
14/01/2026;H26.04;45.5344;
14/01/2026;H26.05;45.4284;
15/01/2026;H1.02;72.811;
15/01/2026;H1.03;72.2658;
15/01/2026;H1.04;70.9128;
15/01/2026;H1.05;70.2728;
15/01/2026;H1.06;66.593;
16/01/2026;H2.01;69.6758;
16/01/2026;H2.02;69.6579;
16/01/2026;H2.03;70.0142;
16/01/2026;H2.04;73.9308;
16/01/2026;H2.05;73.9562;
16/01/2026;H25.02;45.7175;
16/01/2026;H25.04;44.9623;
16/01/2026;H25.05;44.0284;
16/01/2026;H26.02;46.3754;
16/01/2026;H26.03;45.9147;
16/01/2026;H26.04;45.5341;
16/01/2026;H26.05;45.4282;
19/01/2026;H25.02;45.7172;
19/01/2026;H25.04;44.9617;
19/01/2026;H25.05;44.0285;
19/01/2026;H26.02;46.3754;
19/01/2026;H26.03;45.9148;
19/01/2026;H26.04;45.5337;
19/01/2026;H26.05;45.4282;
21/01/2026;H1.02;72.8095;
21/01/2026;H1.03;72.2657;
21/01/2026;H1.04;70.9128;
21/01/2026;H1.05;70.273;
21/01/2026;H1.06;66.5937;
22/01/2026;H2.01;69.6759;
22/01/2026;H2.02;69.6578;
22/01/2026;H2.03;70.0141;
22/01/2026;H2.04;73.9307;
22/01/2026;H2.05;73.956;
23/01/2026;H25.02;45.7163;
23/01/2026;H25.04;44.9612;
23/01/2026;H25.05;44.0283;
23/01/2026;H26.02;46.3748;
23/01/2026;H26.03;45.9137;
23/01/2026;H26.04;45.5333;
23/01/2026;H26.05;45.4281;
28/01/2026;H2.01;69.6763;
28/01/2026;H2.02;69.6582;
28/01/2026;H2.03;70.0143;
28/01/2026;H2.04;73.9305;
28/01/2026;H2.05;73.9559;
30/01/2026;H25.02;45.7151;
30/01/2026;H25.04;44.9598;
30/01/2026;H25.05;44.0284;
30/01/2026;H26.02;46.3738;
30/01/2026;H26.03;45.9112;
30/01/2026;H26.04;45.5322;
30/01/2026;H26.05;45.4280;
02/02/2026;H1.02;72.8100;
02/02/2026;H1.03;72.2662;
02/02/2026;H1.04;70.9129;
02/02/2026;H1.05;70.2730;
02/02/2026;H1.06;66.5935;
02/02/2026;H25.04;44.9596;
02/02/2026;H25.05;44.0284;
02/02/2026;H26.02;46.3735;
02/02/2026;H26.03;45.9106;
02/02/2026;H26.04;45.5320;
02/02/2026;H26.05;45.4283;
03/02/2026;H2.01;69.6759;
03/02/2026;H2.02;69.6577;
03/02/2026;H2.03;70.0139;
03/02/2026;H2.04;73.9306;
03/02/2026;H2.05;73.9559;
04/02/2026;H2.01;69.6762;
04/02/2026;H2.02;69.6578;
04/02/2026;H2.03;70.0140;
04/02/2026;H2.04;73.9306;
04/02/2026;H2.05;73.9560;
04/02/2026;H25.02;45.7140;
04/02/2026;H25.04;44.9582;
04/02/2026;H25.05;44.0283;
04/02/2026;H26.02;46.3733;
04/02/2026;H26.03;45.9103;
04/02/2026;H26.04;45.5318;
04/02/2026;H26.05;45.4281;
05/02/2026;H2.01;69.6763;
05/02/2026;H2.02;69.658;
05/02/2026;H2.03;70.0142;
05/02/2026;H2.04;73.9308;
05/02/2026;H2.05;73.9562;
05/02/2026;H25.02;45.713;
05/02/2026;H25.04;44.9568;
05/02/2026;H25.05;44.0283;
05/02/2026;H26.02;46.3729;
05/02/2026;H26.03;45.9097;
05/02/2026;H26.04;45.5316;
05/02/2026;H26.05;45.4279;
06/02/2026;H2.01;69.6763;
06/02/2026;H2.02;69.658;
06/02/2026;H2.03;70.0142;
06/02/2026;H2.04;73.9312;
06/02/2026;H2.05;73.9566;
06/02/2026;H25.02;45.7125;
06/02/2026;H25.04;44.9554;
06/02/2026;H25.05;44.0282;
06/02/2026;H26.02;46.373;
06/02/2026;H26.03;45.9097;
06/02/2026;H26.04;45.5315;
06/02/2026;H26.05;45.428;
09/02/2026;H2.01;69.6758;
09/02/2026;H2.02;69.6574;
09/02/2026;H2.03;70.0137;
09/02/2026;H2.04;73.9307;
09/02/2026;H2.05;73.9558;
09/02/2026;H25.02;45.7121;
09/02/2026;H25.04;44.9553;
09/02/2026;H25.05;44.0282;
09/02/2026;H26.02;46.3728;
09/02/2026;H26.03;45.9094;
09/02/2026;H26.04;45.5314;
09/02/2026;H26.05;45.4281;
10/02/2026;H25.02;45.7119;
10/02/2026;H25.04;44.9546;
10/02/2026;H25.05;44.0283;
10/02/2026;H26.02;46.3727;
10/02/2026;H26.03;45.9094;
10/02/2026;H26.04;45.5314;
10/02/2026;H26.05;45.4281;
11/02/2026;H2.01;69.6761;
11/02/2026;H2.02;69.658;
11/02/2026;H2.03;70.0141;
11/02/2026;H2.04;73.9302;
11/02/2026;H2.05;73.9557;
11/02/2026;H25.02;45.7119;
11/02/2026;H25.04;44.9549;
11/02/2026;H25.05;44.0282;
11/02/2026;H26.02;46.3726;
11/02/2026;H26.03;45.9093;
11/02/2026;H26.04;45.5315;
11/02/2026;H26.05;45.428;
12/02/2026;H2.01;69.6761;
12/02/2026;H2.02;69.6579;
12/02/2026;H2.03;70.0141;
12/02/2026;H2.04;73.9304;
12/02/2026;H2.05;73.9559;
12/02/2026;H25.02;45.7118;
12/02/2026;H25.04;44.9551;
12/02/2026;H25.05;44.0283;
12/02/2026;H26.02;46.3724;
12/02/2026;H26.03;45.9091;
12/02/2026;H26.04;45.5313;
12/02/2026;H26.05;45.428;
13/02/2026;H25.02;45.7119;
13/02/2026;H25.04;44.955;
13/02/2026;H25.05;44.0283;
13/02/2026;H26.02;46.3726;
13/02/2026;H26.03;45.9093;
13/02/2026;H26.04;45.5315;
13/02/2026;H26.05;45.4282;
16/02/2026;H2.01;69.6758;
16/02/2026;H2.02;69.6574;
16/02/2026;H2.03;70.0137;
16/02/2026;H2.04;73.9308;
16/02/2026;H2.05;73.956;
16/02/2026;H25.02;45.7115;
16/02/2026;H25.04;44.954;
16/02/2026;H25.05;44.0282;
16/02/2026;H26.02;46.3724;
16/02/2026;H26.03;45.9091;
16/02/2026;H26.04;45.5312;
16/02/2026;H26.05;45.4281;
17/02/2026;H2.01;69.6762;
17/02/2026;H2.02;69.6577;
17/02/2026;H2.03;70.0139;
17/02/2026;H2.04;73.9305;
17/02/2026;H2.05;73.9559;
17/02/2026;H25.02;45.7117;
17/02/2026;H25.04;44.9546;
17/02/2026;H25.05;44.0283;
17/02/2026;H26.02;46.3721;
17/02/2026;H26.03;45.9089;
17/02/2026;H26.04;45.531;
17/02/2026;H26.05;45.4279;
18/02/2026;H25.02;45.7114;
18/02/2026;H25.04;44.9546;
18/02/2026;H25.05;44.0283;
18/02/2026;H26.02;46.372;
18/02/2026;H26.03;45.9087;
18/02/2026;H26.04;45.5311;
18/02/2026;H26.05;45.428;
19/02/2026;H25.02;45.7116;
19/02/2026;H25.04;44.9547;
19/02/2026;H25.05;44.0282;
19/02/2026;H26.02;46.3724;
19/02/2026;H26.03;45.9091;
19/02/2026;H26.04;45.5313;
19/02/2026;H26.05;45.428;
20/02/2026;H25.02;45.7115;
20/02/2026;H25.04;44.9547;
20/02/2026;H25.05;44.0283;
20/02/2026;H26.02;46.3724;
20/02/2026;H26.03;45.9091;
20/02/2026;H26.04;45.5314;
20/02/2026;H26.05;45.4282;
23/02/2026;H25.02;45.7114;
23/02/2026;H25.04;44.9545;
23/02/2026;H25.05;44.0281;
23/02/2026;H26.02;46.3721;
23/02/2026;H26.03;45.9087;
23/02/2026;H26.04;45.5313;
23/02/2026;H26.05;45.4281;
24/02/2026;H25.02;45.711;
24/02/2026;H25.04;44.9544;
24/02/2026;H25.05;44.0283;
24/02/2026;H26.02;46.3719;
24/02/2026;H26.03;45.9086;
24/02/2026;H26.04;45.5313;
24/02/2026;H26.05;45.4281;
26/02/2026;H25.02;45.7113;
26/02/2026;H25.04;44.9545;
26/02/2026;H25.05;44.0282;
26/02/2026;H26.02;46.3723;
26/02/2026;H26.03;45.9089;
26/02/2026;H26.04;45.5312;
26/02/2026;H26.05;45.4281;
26/02/2026;H2.01;69.6762;
26/02/2026;H2.02;69.6582;
26/02/2026;H2.03;70.0141;
26/02/2026;H2.04;73.9304;
26/02/2026;H2.05;73.9557;
02/03/2026;H25.02;45.7112;
02/03/2026;H25.04;44.9543;
02/03/2026;H25.05;44.0282;
02/03/2026;H26.02;46.3721;
02/03/2026;H26.03;45.9087;
02/03/2026;H26.04;45.5311;
02/03/2026;H26.05;45.428;
